                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                0.64231,                0.35681,                0.90417,                0.99529,                      1,                  0.995,                0.91404,                0.49834,                0.30262,                0.96218,              0.0010396,              0.0010396,              0.0010396
                     54,                  0.663,                0.36111,                0.90471,                0.85718,                      1,                0.86773,                0.80623,                0.37241,                0.66967,                0.94528,              0.0010355,              0.0010355,              0.0010355
                     55,                0.66929,                0.36909,                0.89753,                0.99412,                      1,                  0.995,                0.82536,                0.76286,                0.34188,                  1.015,              0.0010314,              0.0010314,              0.0010314
                     56,                0.64761,                0.36141,                0.89985,                0.80104,                      1,                0.80242,                0.76269,                0.34827,                 2.6443,                0.95461,              0.0010273,              0.0010273,              0.0010273
                     57,                0.62511,                 0.3682,                0.88846,                0.99144,                      1,                  0.995,                0.94048,                0.36294,                 0.2739,                0.92904,              0.0010231,              0.0010231,              0.0010231
                     58,                0.62922,                0.37398,                0.89073,                0.78945,                      1,                0.79207,                0.76205,                0.31005,                 2.7923,                0.92749,               0.001019,               0.001019,               0.001019
                     59,                0.63162,                0.35874,                0.89828,                0.88086,                      1,                0.88743,                0.84485,                0.31045,                0.52792,                0.93023,              0.0010149,              0.0010149,              0.0010149
                     60,                0.62759,                0.36472,                0.89629,                0.99616,                      1,                  0.995,                0.96667,                 0.3016,                0.25728,                0.92221,              0.0010107,              0.0010107,              0.0010107
                     61,                0.62844,                 0.3551,                0.89087,                0.89153,                      1,                0.90949,                0.84516,                0.37315,                0.46727,                0.93157,              0.0010066,              0.0010066,              0.0010066
                     62,                0.61766,                0.34605,                0.88994,                0.87603,                      1,                 0.8955,                0.86354,                 0.4111,                0.50557,                0.94283,              0.0010025,              0.0010025,              0.0010025
                     63,                0.59505,                0.34147,                0.87698,                0.99628,                      1,                  0.995,                0.91764,                0.48902,                0.25882,                0.95329,             0.00099837,             0.00099837,             0.00099837
                     64,                0.62754,                0.35314,                0.89362,                0.93239,                      1,                0.94716,                0.90273,                0.33634,                0.33364,                0.92532,             0.00099425,             0.00099425,             0.00099425
                     65,                0.62348,                0.35455,                0.89073,                0.99533,                      1,                  0.995,                0.94536,                0.30776,                0.23084,                0.92059,             0.00099013,             0.00099013,             0.00099013
                     66,                0.61825,                0.34907,                0.88903,                 0.8647,                      1,                0.86497,                0.82521,                0.36501,                0.64528,                0.93314,               0.000986,               0.000986,               0.000986
                     67,                0.62045,                0.35507,                0.88546,                0.85105,                0.99775,                0.85924,                0.82333,                 0.3126,                0.84185,                0.92768,             0.00098187,             0.00098187,             0.00098187
                     68,                0.63495,                0.37702,                0.88809,                0.88187,                      1,                 0.8955,                0.82857,                0.38001,                0.45456,                0.93696,             0.00097775,             0.00097775,             0.00097775
                     69,                0.63187,                0.36636,                0.90163,                0.98199,                      1,                  0.995,                0.92643,                0.33226,                0.28234,                0.92911,             0.00097362,             0.00097362,             0.00097362
                     70,                0.62034,                0.35016,                0.88788,                0.99324,                      1,                  0.995,                0.92276,                0.44309,                 0.2653,                0.94878,              0.0009695,              0.0009695,              0.0009695
                     71,                0.60324,                0.35068,                0.87926,                0.99664,                      1,                  0.995,                0.95806,                0.32924,                0.23708,                0.93246,             0.00096537,             0.00096537,             0.00096537
                     72,                0.63922,                 0.3554,                0.89812,                0.99459,                      1,                  0.995,                0.93186,                0.31117,                0.22955,                0.92342,             0.00096125,             0.00096125,             0.00096125
                     73,                0.59349,                0.34904,                0.88724,                0.87424,                      1,                0.88019,                0.83308,                0.30918,                0.59845,                0.92159,             0.00095712,             0.00095712,             0.00095712
                     74,                0.61414,                0.34425,                  0.899,                0.98486,                      1,                  0.995,                0.95949,                 0.2942,                0.28302,                0.92601,               0.000953,               0.000953,               0.000953
